D_anger,D_fear,D_joy,D_neutral,D_sadness
0.12087322771549225,0.035028424113988876,0.09729865938425064,0.6463138461112976,0.10048584640026093
0.23549966514110565,0.014427507296204567,0.002354836091399193,0.001166034722700715,0.7465519905090332
0.81451416015625,0.10367883741855621,0.005435064900666475,0.0012152722338214517,0.07515669614076614
0.04778287187218666,0.9225309491157532,0.012215756811201572,0.0013726996257901192,0.01609782502055168
0.9753894805908203,0.002285505412146449,0.0001616189256310463,1.59330629685428e-05,0.02214740216732025
0.2622778117656708,0.006702352315187454,0.005149431060999632,0.008565235882997513,0.7173051238059998
0.36937034130096436,0.2883590757846832,0.1321781426668167,0.0565013587474823,0.15359105169773102
0.8419559001922607,0.005074748769402504,0.0013245362788438797,0.002173349028453231,0.1494714915752411
0.003134248312562704,0.0021743052639067173,0.014252801425755024,0.9774083495140076,0.003030218183994293
0.041278984397649765,0.00045231959666125476,0.00013383491022977978,0.00039295360329560935,0.9577419757843018
0.011606760323047638,0.9787094593048096,0.004991491325199604,0.0003422625013627112,0.00435000192373991
0.3161817491054535,0.003694056300446391,0.00571143813431263,0.0012355060316622257,0.6731772422790527
0.16568328440189362,0.09995733946561813,0.6275930404663086,0.016215549781918526,0.09055085480213165
0.7514384388923645,0.06686872988939285,0.0040919724851846695,0.00834187027066946,0.16925902664661407
0.09390498697757721,0.025954870507121086,0.7771881818771362,0.0182156004011631,0.08473634719848633
0.008570259436964989,0.005373298656195402,0.023472055792808533,0.9543630480766296,0.008221406489610672
0.2317652553319931,0.06953083723783493,0.5217528939247131,0.017669787630438805,0.15928122401237488
0.002777758054435253,0.9903122186660767,0.006404512096196413,5.1706731028389186e-05,0.00045383660471998155
0.7089370489120483,0.08816845715045929,0.033960361033678055,0.0017523332498967648,0.1671818047761917
0.4234631359577179,0.10970439016819,0.3007108271121979,0.01691242679953575,0.14920929074287415
0.012392605654895306,0.9786927103996277,0.006465630140155554,0.0006011363584548235,0.0018478913698345423
0.03429712355136871,0.010707652196288109,0.876539945602417,0.021568214520812035,0.05688709020614624
0.24878031015396118,0.2774542272090912,0.02869977243244648,0.003690253710374236,0.4413754642009735
0.008570259436964989,0.005373298656195402,0.023472055792808533,0.9543630480766296,0.008221406489610672
0.3225879967212677,0.011456788517534733,0.001366458716802299,0.0011082522105425596,0.6634804606437683
0.12416482716798782,0.12236195802688599,0.14078599214553833,0.4910484850406647,0.121638722717762
0.06714548170566559,0.02172798477113247,0.49093469977378845,0.35281240940093994,0.0673794373869896
0.9671295285224915,0.016915338113904,0.0008044990245252848,5.027508086641319e-05,0.015100306831300259
0.008570259436964989,0.005373298656195402,0.023472055792808533,0.9543630480766296,0.008221406489610672
0.3222206234931946,0.015294582583010197,0.01993240974843502,0.017842421308159828,0.624709963798523
0.32836854457855225,0.06948196887969971,0.04557410627603531,0.1544295698404312,0.40214577317237854
0.9169630408287048,0.004313759971410036,0.0006591526325792074,0.0007547434070147574,0.07730934768915176
0.37778791785240173,0.015301653183996677,0.026557158678770065,0.006794351153075695,0.5735588669776917
0.012175333686172962,0.0043512568809092045,0.04148487746715546,0.9220752120018005,0.019913343712687492
0.17560184001922607,0.17360113561153412,0.07554034143686295,0.013078570365905762,0.5621780753135681
0.0003134109720122069,0.9996622800827026,1.293112404709973e-06,5.554078086333902e-08,2.301465065102093e-05
0.44610702991485596,0.08339203894138336,0.024179641157388687,0.02879730798304081,0.41752398014068604
0.12396757304668427,0.3627445101737976,0.4386451542377472,0.01855464279651642,0.0560881607234478
0.041693270206451416,0.012373331002891064,0.8461804389953613,0.054703403264284134,0.04504961147904396
0.2761004865169525,0.15370747447013855,0.09112697094678879,0.04980045184493065,0.4292646050453186
0.19942158460617065,0.19974711537361145,0.4148758053779602,0.07894180715084076,0.10701373219490051
0.7221219539642334,0.10881844907999039,0.04630117863416672,0.02067216858267784,0.10208622366189957
0.2150040864944458,0.1255718320608139,0.35578489303588867,0.17147420346736908,0.13216504454612732
0.9916497468948364,0.001006204984150827,0.00034061670885421336,2.4453170226479415e-06,0.0070010288618505
0.12059780955314636,0.013521240092813969,0.006077662575989962,0.00974012166261673,0.8500632047653198
0.009775079786777496,0.013528505340218544,0.8973429799079895,0.06898017227649689,0.010373218916356564
0.01159716583788395,0.030994312837719917,0.9325114488601685,0.018871137872338295,0.006025985348969698
0.346419095993042,0.10098084062337875,0.05511629208922386,0.245249405503273,0.2522343695163727
0.24740926921367645,0.005720341112464666,0.000657510245218873,0.00021366230794228613,0.7459992170333862
0.10754396766424179,0.8636065721511841,0.006179220508784056,0.0014331162674352527,0.0212370827794075
0.008570259436964989,0.005373298656195402,0.023472055792808533,0.9543630480766296,0.008221406489610672
0.8719329833984375,0.0018234539311379194,0.0001888556726044044,0.0004018947365693748,0.12565289437770844
0.8358227610588074,0.0378795824944973,0.0021943605970591307,0.0026236260309815407,0.12147962301969528
0.13018721342086792,0.5320838689804077,0.27420035004615784,0.03517083451151848,0.02835775911808014
0.030726701021194458,0.014664375223219395,0.04101663455367088,0.8785583972930908,0.03503390774130821
0.15608124434947968,0.003076188964769244,0.0005542335566133261,0.0007414530264213681,0.8395468592643738
0.5171718597412109,0.08212579786777496,0.0870516449213028,0.013853831216692924,0.29979684948921204
0.21185529232025146,0.1680818796157837,0.3038635849952698,0.17808765172958374,0.13811154663562775
0.5109521150588989,0.018298635259270668,0.0005452227196656168,0.0016351628582924604,0.4685688316822052
0.011737209744751453,0.052199579775333405,0.9324620962142944,0.000657110009342432,0.002943979809060693
0.4596101641654968,0.021706601604819298,0.03431503102183342,0.06484687328338623,0.4195212423801422
0.4014035761356354,0.09193088859319687,0.08991280198097229,0.07880178838968277,0.33795100450515747
0.07121815532445908,0.1903236210346222,0.6707488298416138,0.01569846086204052,0.052011020481586456
0.3764841854572296,0.2701970040798187,0.08095768094062805,0.05382302775979042,0.21853816509246826
0.21328987181186676,0.5916558504104614,0.08377540856599808,0.048365913331508636,0.0629129707813263
0.7880960702896118,0.0422871969640255,0.00658850371837616,0.007043545600026846,0.15598471462726593
0.007691850885748863,0.006029034033417702,0.03674088791012764,0.9407622814178467,0.008775874972343445
0.5684935450553894,0.05103856697678566,0.0505610927939415,0.03131928667426109,0.29858747124671936
0.013411324471235275,0.007645106874406338,0.03787270560860634,0.9298573136329651,0.011213567107915878
0.03176054358482361,0.018788853660225868,0.9197390675544739,0.010986670851707458,0.01872488297522068
0.016250306740403175,0.007991244085133076,0.04233449697494507,0.9187353849411011,0.014688638038933277
0.16253000497817993,0.036633241921663284,0.07654928416013718,0.5843221545219421,0.13996529579162598
0.02995605580508709,0.0369911789894104,0.8030364513397217,0.10449216514825821,0.025524184107780457
0.002831254852935672,0.9936569333076477,0.0032061247620731592,1.9073133444180712e-05,0.00028649988234974444
0.05249703675508499,0.013237278908491135,0.8724603056907654,0.0033658382017165422,0.05843958631157875
0.4028869867324829,0.06196087598800659,0.0341409407556057,0.038907021284103394,0.4621041417121887
0.39254096150398254,0.3774843215942383,0.009064936079084873,0.00371776451356709,0.21719202399253845
0.011364527978003025,0.003934302367269993,0.030168255791068077,0.9416414499282837,0.012891380116343498
0.10153018683195114,0.1796247661113739,0.3391720950603485,0.3229256570339203,0.05674729868769646
0.0616573765873909,0.018980631604790688,0.15200823545455933,0.706665575504303,0.06068811193108559
0.9622735381126404,0.006152477115392685,8.601185254519805e-05,3.668260615086183e-05,0.031451210379600525
0.1151876226067543,0.0010722583392634988,3.981363261118531e-05,6.511802348541096e-05,0.8836352229118347
